Day,Visits,Subs
9/1/2012,2879,574
9/2/2012,4591,965
9/3/2012,2593,478
9/4/2012,4515,900
9/5/2012,5118,881
9/6/2012,4547,710
9/7/2012,3836,662
9/8/2012,2746,546
9/9/2012,2425,556
9/10/2012,1507,333
9/11/2012,1084,290
9/12/2012,1037,324
9/13/2012,980,236
9/14/2012,1117,337
9/15/2012,1053,316
9/16/2012,1122,295
9/17/2012,1891,395
9/18/2012,1258,290
9/19/2012,1788,313
9/20/2012,1435,274
9/21/2012,1599,363
9/22/2012,1735,391
9/23/2012,1689,366
9/24/2012,1936,373
9/25/2012,1579,337
9/26/2012,1256,256
9/27/2012,1087,233
9/28/2012,1308,264
9/29/2012,1201,212
9/30/2012,1401,289
10/1/2012,1719,337
10/2/2012,1603,268
10/3/2012,1531,262
10/4/2012,1224,207
10/5/2012,1082,223
10/6/2012,1009,237
10/7/2012,688,190
10/8/2012,1636,271
10/9/2012,1288,243
10/10/2012,1006,244
10/11/2012,874,238
10/12/2012,409,162
10/13/2012,1124,272
10/14/2012,1043,233
10/15/2012,997,208
10/16/2012,1053,199
10/17/2012,1301,249
10/18/2012,978,201
10/19/2012,853,145
10/20/2012,858,138
10/21/2012,876,171
10/22/2012,856,130
10/23/2012,888,150
10/24/2012,857,145
10/25/2012,897,179
10/26/2012,1056,181
10/27/2012,893,168
10/28/2012,888,156
10/29/2012,1089,171
10/30/2012,1088,172
10/31/2012,933,138
11/1/2012,1299,201
11/2/2012,1115,173
11/3/2012,1200,215
11/4/2012,1636,278
11/5/2012,1414,209
11/6/2012,877,108
11/7/2012,900,139
11/8/2012,1577,245
11/9/2012,1162,200
11/10/2012,1518,250
11/11/2012,1698,296
11/12/2012,1643,214
11/13/2012,2192,337
11/14/2012,1920,298
11/15/2012,1342,205
11/16/2012,1591,226
11/17/2012,1726,271
11/18/2012,2801,368
11/19/2012,3284,713
11/20/2012,2660,486
11/21/2012,3387,673
11/22/2012,3524,686
11/23/2012,4278,725
11/24/2012,4250,776
11/25/2012,4337,815
11/26/2012,4340,805
11/27/2012,3968,683
11/28/2012,3806,670
11/29/2012,3770,659
11/30/2012,4069,684
12/1/2012,1714,287
12/2/2012,2792,427
12/3/2012,3332,580
12/4/2012,4698,804
12/5/2012,5130,764
12/6/2012,3696,586
12/7/2012,3824,620
12/8/2012,4258,662
12/9/2012,3982,578
12/10/2012,3209,424
12/11/2012,2775,367
12/12/2012,1648,185
12/13/2012,2797,428
12/14/2012,1295,173
12/15/2012,1798,257
12/16/2012,2464,385
12/17/2012,3093,415
12/18/2012,2903,384
12/19/2012,3217,367
12/20/2012,793,82
12/21/2012,861,143
12/22/2012,825,134
12/23/2012,775,105
12/24/2012,777,119
12/25/2012,811,151
12/26/2012,851,110
12/27/2012,1257,195
12/28/2012,1893,324
12/29/2012,2480,485
12/30/2012,1915,354
12/31/2012,1921,383
1/1/2013,2516,430
1/2/2013,1876,381
1/3/2013,1634,361
1/4/2013,1361,300
1/5/2013,1296,287
1/6/2013,1647,354
1/7/2013,1484,319
1/8/2013,1389,328
1/9/2013,1311,264
1/10/2013,1030,205
1/11/2013,799,148
1/12/2013,1033,205
1/13/2013,1250,261
1/14/2013,1079,227
1/15/2013,1089,193
1/16/2013,910,163
1/17/2013,862,134
1/18/2013,1005,198
1/19/2013,1157,222
1/20/2013,1166,210
1/21/2013,1028,221
1/22/2013,819,132
1/23/2013,830,158
1/24/2013,862,174
1/25/2013,861,134
1/26/2013,1043,255
1/27/2013,1277,226
1/28/2013,1073,205
1/29/2013,964,173
1/30/2013,887,150
1/31/2013,1340,250
2/1/2013,1394,229
2/2/2013,1857,328
2/3/2013,1951,362
2/4/2013,1331,198
2/5/2013,1140,146
2/6/2013,1530,188
2/7/2013,2153,333
2/8/2013,1497,243
2/9/2013,1416,241
2/10/2013,1839,314
2/11/2013,1524,300
2/12/2013,1631,258
2/13/2013,1021,119
2/14/2013,763,100
2/15/2013,997,167
2/16/2013,928,154
2/17/2013,940,151
2/18/2013,1343,195
2/19/2013,1603,270
2/20/2013,1449,173
2/21/2013,1371,214
2/22/2013,1056,156
2/23/2013,1234,201
2/24/2013,977,180
2/25/2013,1180,192
2/26/2013,1437,103
2/27/2013,708,53
2/28/2013,1689,241
